url;owner;reach;reach_updated;rss_available;left_right
nos.nl;NPO;4740000;2025-11-30;1;3.346
www.ad.nl;DPG Media;5337000;2025-11-30;1;3.366
www.nu.nl;DPG Media;4623000;2025-11-30;1;3.355
www.volkskrant.nl;DPG Media;2029000;2025-11-30;1;2.651
www.nrc.nl;Mediahuis Nederland;2392000;2025-11-30;1;3.0
www.trouw.nl;DPG Media;1295000;2025-11-30;1;3.0
www.rtl.nl;DPG Media;5675000;2025-11-30;0;3.674
www.parool.nl;DPG Media;1168000;2025-11-30;1;3.0
www.nd.nl;Nedag Uitgevers BV;26200;2024-12-31;1;3.0
www.telegraaf.nl;Mediahuis Nederland;4399000;2025-11-30;1;4.056
www.gelderlander.nl;DPG Media;2691000;2025-11-30;1;3.0
www.destentor.nl;DPG Media;1975000;2025-11-30;1;3.0
www.bd.nl;DPG Media;1641000;2025-11-30;1;3.0
www.metronieuws.nl;Mediahuis Nederland;1475000;2025-11-30;0;3.0
www.ed.nl;DPG Media;1398000;2025-11-30;1;3.0
www.bnr.nl;FD Mediagroep;1138000;2025-11-30;1;3.0
www.fd.nl;FD Mediagroep;229.000;;1;3.0
www.geenstijl.nl;Marck Burema, Bart Nijman, Diane Beijer;;;;3.88
www.bnnvara.nl;NPO;;;;2.732
